2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:19 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:20 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:21 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:22 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:23 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
